,ts_code,trade_date,turnover_rate,volume_ratio,pe,pb
2633,000886.SZ,20240403,1.2455,1.11,17.7868,1.4781
2644,000034.SZ,20240403,4.1794,0.79,16.2169,2.2389
2650,601139.SH,20240403,0.3655,1.04,14.9837,1.5063
2686,000059.SZ,20240403,1.1486,1.17,16.8784,0.6441
2700,603665.SH,20240403,0.6452,0.82,15.1882,2.4033
2719,600229.SH,20240403,2.2203,0.72,15.5449,1.673
2732,000755.SZ,20240403,1.1219,1.15,15.5212,1.3798
2735,600012.SH,20240403,0.2855,0.69,13.9089,1.8241
2740,002216.SZ,20240403,0.6113,0.95,13.6778,2.652
2747,601600.SH,20240403,2.1334,1.43,19.1331,2.1988
2757,000006.SZ,20240403,0.8533,0.67,12.4505,0.6721
2764,600390.SH,20240403,0.5762,1.03,8.5515,0.5202
2770,601601.SH,20240403,0.3888,0.69,8.3331,0.9101
2771,002539.SZ,20240403,1.5705,1.71,6.5569,1.2064
2774,001332.SZ,20240403,2.4506,0.89,13.4238,1.4233
2779,601518.SH,20240403,1.0086,1.09,11.9589,0.968
2782,603182.SH,20240403,1.5125,0.91,17.3209,1.9792
2795,000960.SZ,20240403,3.8233,2.07,19.4867,1.4974
2798,601872.SH,20240403,0.9194,1.68,13.8397,1.8146
2804,000893.SZ,20240403,5.9898,1.81,9.2809,1.7146
2806,600208.SH,20240403,0.373,0.77,9.5262,0.4071
2807,000036.SZ,20240403,0.7893,1.1,9.8759,0.8123
2808,600872.SH,20240403,1.9513,0.91,13.093,4.7225
2818,600141.SH,20240403,3.1093,1.8,16.2658,1.1007
2822,605090.SH,20240403,2.5425,1.6,16.0092,2.3437
2824,002057.SZ,20240403,2.0613,1.3,14.5082,1.833
2825,002233.SZ,20240403,0.7107,0.82,12.2039,0.7571
2839,600195.SH,20240403,1.1477,1.22,18.4712,1.8398
2842,603213.SH,20240403,4.0085,2.13,11.1272,2.5092
2844,000895.SZ,20240403,0.254,0.28,18.2739,4.43
2845,603882.SH,20240403,0.5697,1.46,9.2025,2.9888
2848,600219.SH,20240403,1.2002,1.51,12.0996,0.8695
2849,000731.SZ,20240403,1.7232,1.61,6.5391,1.0084
2852,603155.SH,20240403,0.3989,1.04,13.4717,1.8105
2856,605168.SH,20240403,1.6569,0.91,12.1159,3.2541
2860,601577.SH,20240403,0.3345,0.8,4.6585,0.5278
2865,603217.SH,20240403,1.2898,1.27,7.4123,1.1253
2866,600308.SH,20240403,0.4279,0.87,12.9599,0.5965
2874,002836.SZ,20240403,1.1861,0.89,19.5341,4.5165
2877,600662.SH,20240403,0.6898,1.21,19.605,2.5954
2878,002562.SZ,20240403,2.8089,0.43,12.081,1.1677
2880,002180.SZ,20240403,0.5839,0.92,18.1795,2.1186
2889,600248.SH,20240403,0.4461,0.92,4.26,0.7204
2894,002727.SZ,20240403,1.5544,0.99,11.4127,1.4881
2904,000880.SZ,20240403,2.2733,0.78,18.3692,1.5745
2907,000779.SZ,20240403,0.7849,0.74,18.5608,1.1765
2925,603230.SH,20240403,13.7788,0.54,18.5988,1.9267
2932,600392.SH,20240403,6.271,3.86,11.825,2.1359
2933,600475.SH,20240403,0.3809,0.59,14.365,1.3123
2936,600546.SH,20240403,2.4326,0.92,7.1486,1.9422
2947,002721.SZ,20240403,0.8994,1.08,12.0789,3.9145
2950,600583.SH,20240403,1.4644,1.03,18.744,1.2251
2965,600668.SH,20240403,0.5831,0.87,11.086,0.615
2968,603877.SH,20240403,0.54,0.84,18.7432,1.7745
2982,002556.SZ,20240403,0.692,0.98,9.9237,1.3145
2992,600018.SH,20240403,0.1555,1.57,9.8405,1.0548
2994,000597.SZ,20240403,0.7606,0.99,19.2961,1.3866
2997,600869.SH,20240403,0.6384,0.92,16.645,1.944
3015,600794.SH,20240403,1.3997,1.33,18.1654,1.8016
3019,002080.SZ,20240403,1.6987,1.15,12.3656,1.4816
3021,603968.SH,20240403,1.1054,0.92,5.9902,1.1862
3026,001323.SZ,20240403,1.3822,0.97,18.3099,2.8966
3027,000404.SZ,20240403,4.9856,1.6,13.9138,1.3177
3029,002034.SZ,20240403,0.5503,0.67,8.277,0.9587
3031,000065.SZ,20240403,0.8707,0.65,12.8681,1.4185
3035,000591.SZ,20240403,0.7374,0.99,14.8865,0.9048
3036,002993.SZ,20240403,0.9862,1.03,19.4001,1.8159
3037,603259.SH,20240403,2.9291,0.89,14.4457,2.5637
3041,601318.SH,20240403,0.4308,1.22,8.6093,0.8204
3044,600479.SH,20240403,1.514,1.24,15.6522,1.9899
3047,603309.SH,20240403,0.8298,0.74,19.8172,1.867
3048,002381.SZ,20240403,3.444,1.09,13.7346,1.5807
3050,600064.SH,20240403,0.7485,1.3,4.5665,0.6241
3065,002462.SZ,20240403,0.7497,0.83,12.496,0.8783
3066,603659.SH,20240403,1.5799,1.29,14.18,2.5105
3080,601390.SH,20240403,0.4526,0.75,5.2484,0.6214
3095,600426.SH,20240403,0.9162,0.96,16.0263,1.9836
3105,000544.SZ,20240403,0.9308,0.75,8.4423,0.9678
3107,603603.SH,20240403,2.7442,0.43,0.2486,0.2324
3108,600210.SH,20240403,3.6283,1.46,14.8544,1.4407
3112,600909.SH,20240403,0.5978,0.68,17.3246,1.0685
3128,002643.SZ,20240403,1.1259,1.19,17.3819,1.8754
3130,002466.SZ,20240403,2.2073,1.37,11.4725,1.625
3136,603380.SH,20240403,1.075,0.59,18.0872,2.4348
3139,600585.SH,20240403,0.3105,0.84,11.325,0.6374
3142,605369.SH,20240403,0.3169,1.15,15.8639,3.3148
3145,601065.SH,20240403,10.2046,0.82,16.4012,1.6821
3148,603856.SH,20240403,0.5108,0.72,18.4582,1.2345
3157,601666.SH,20240403,2.8615,1.75,8.0736,1.3222
3173,002895.SZ,20240403,2.0631,0.9,13.565,1.8676
3177,002154.SZ,20240403,1.4551,0.75,19.6582,2.1481
3180,603995.SH,20240403,1.0551,0.92,12.7496,1.2752
3184,000090.SZ,20240403,0.9779,0.7,4.4657,0.7933
3190,603906.SH,20240403,2.3929,1.3,7.6252,1.448
3192,603929.SH,20240403,6.6803,3.98,16.6518,3.3518
3194,002718.SZ,20240403,2.2861,0.92,17.7665,1.6037
3198,603700.SH,20240403,0.7253,0.86,19.104,1.5481
3199,002960.SZ,20240403,0.8333,0.68,17.1636,1.8133
3202,002734.SZ,20240403,8.5538,4.76,12.5277,1.0794
3209,603693.SH,20240403,0.2334,0.86,19.6301,1.4767
3216,000030.SZ,20240403,0.7373,0.67,18.5998,1.2519
3219,000950.SZ,20240403,0.8777,1.16,9.6003,0.8301
3226,603998.SH,20240403,1.5692,1.48,16.8556,3.4851
3227,001206.SZ,20240403,3.9153,0.56,16.2117,1.3795
3228,000792.SZ,20240403,0.8389,1.99,11.5679,2.8692
3230,603558.SH,20240403,1.7651,1.32,15.3539,1.702
3246,603587.SH,20240403,0.3298,0.96,16.2751,1.714
3249,000933.SZ,20240403,2.359,2.05,8.5297,2.5403
3252,603307.SH,20240403,12.2051,2.54,11.6323,2.1276
3259,000683.SZ,20240403,1.19,1.14,8.6547,1.6413
3260,600874.SH,20240403,0.7747,0.96,10.5093,0.9968
3269,000930.SZ,20240403,0.5858,0.96,10.7953,1.068
3270,002346.SZ,20240403,0.7474,1.06,9.8877,1.5809
3276,600803.SH,20240403,0.3005,1.18,8.2014,2.4586
3289,603681.SH,20240403,0.9407,1.15,11.0506,1.0338
3299,600618.SH,20240403,0.7149,1.43,7.4421,1.3057
3301,605169.SH,20240403,3.4579,1.88,16.441,1.4848
3320,603260.SH,20240403,0.3044,1.95,11.9316,1.9159
3322,601339.SH,20240403,0.2675,0.95,5.3849,0.8379
3325,002304.SZ,20240403,0.2107,0.66,16.0607,2.8895
3339,603836.SH,20240403,6.1229,2.5,9.7519,1.597
3349,002801.SZ,20240403,4.6655,1.62,17.1814,3.2973
3352,603183.SH,20240403,1.3702,0.85,18.4929,1.2736
3353,000498.SZ,20240403,0.7127,1.25,3.5275,0.6971
3354,603115.SH,20240403,1.1661,1.79,13.5507,1.5985
3358,600587.SH,20240403,1.2739,0.86,16.4124,1.4666
3378,000407.SZ,20240403,1.296,0.85,19.2205,1.0223
3380,603551.SH,20240403,0.4741,0.83,18.5044,3.024
3386,002884.SZ,20240403,1.0985,1.11,16.9797,3.3575
3387,601012.SH,20240403,0.7765,0.69,10.1559,2.1217
3393,600383.SH,20240403,1.5539,1.06,18.6048,0.254
3400,000728.SZ,20240403,0.6663,0.87,15.5607,0.8405
3404,002738.SZ,20240403,5.336,2.08,9.0838,2.488
3418,000419.SZ,20240403,1.344,1.04,18.1256,0.8214
3422,603706.SH,20240403,1.4063,1.61,19.7001,1.7366
3423,600513.SH,20240403,1.529,0.85,19.5578,1.9499
3427,600885.SH,20240403,0.8639,1.02,19.7162,3.4337
3430,603043.SH,20240403,0.3664,0.77,18.4017,2.7699
3436,601668.SH,20240403,0.2932,0.78,4.2477,0.5326
3438,601163.SH,20240403,1.0065,1.21,18.1877,1.0702
3452,600661.SH,20240403,3.4657,0.97,17.5858,12.968
3455,002595.SZ,20240403,0.2446,0.86,17.875,3.3456
3459,600180.SH,20240403,0.8148,1.19,12.407,0.7091
3461,002469.SZ,20240403,1.8302,0.93,13.8196,1.4347
3462,600999.SH,20240403,0.1507,0.86,14.0411,1.1505
3463,002936.SZ,20240403,0.4643,0.57,9.6321,0.4198
3467,601177.SH,20240403,0.8961,0.95,16.1074,1.4821
3478,002748.SZ,20240403,18.0144,4.06,12.3355,1.6689
3483,002550.SZ,20240403,1.1786,1.29,19.8649,2.6038
3490,600368.SH,20240403,1.8596,0.88,7.8902,0.8268
3491,003023.SZ,20240403,3.2109,0.94,18.362,1.212
3496,002133.SZ,20240403,2.1225,0.9,19.5872,0.5423
3499,002457.SZ,20240403,2.3214,0.76,16.1704,1.204
3501,601231.SH,20240403,0.2495,0.92,15.8524,1.8619
3503,600226.SH,20240403,0.6388,1.0,17.1776,2.5637
3509,001203.SZ,20240403,2.797,1.89,13.4382,2.7057
3519,002102.SZ,20240403,3.7062,5.5,14.8143,1.5703
3526,601607.SH,20240403,0.8477,1.01,17.0816,0.9393
3530,000718.SZ,20240403,0.7467,0.69,17.8036,0.6691
3531,002141.SZ,20240403,5.0804,1.34,9.8667,2.0304
3533,600500.SH,20240403,0.5469,0.96,11.6952,0.9192
3541,000650.SZ,20240403,1.1487,0.95,16.0357,1.535
3542,605058.SH,20240403,0.9362,0.73,19.171,1.5967
3552,001979.SZ,20240403,0.6565,0.89,12.976,0.8314
3577,601311.SH,20240403,0.644,0.82,19.9925,1.0329
3587,600929.SH,20240403,1.3572,1.32,13.0718,1.3475
3589,600028.SH,20240403,0.1579,1.11,13.0875,0.9676
3593,002825.SZ,20240403,2.0452,0.73,7.3112,1.8878
3616,600273.SH,20240403,1.1299,1.14,9.4336,1.1372
3622,601077.SH,20240403,0.6375,0.71,4.8752,0.4592
3625,600801.SH,20240403,0.5985,0.84,10.7634,1.0275
3627,603759.SH,20240403,0.6677,0.98,14.1019,1.3313
3634,603203.SH,20240403,0.7131,1.06,18.2471,3.7068
3645,600420.SH,20240403,0.9948,0.89,17.0196,0.9505
3661,000661.SZ,20240403,0.5995,0.71,10.9694,2.2535
3670,600017.SH,20240403,1.1359,1.67,13.6335,0.6569
3673,601038.SH,20240403,0.73,0.67,19.0125,2.8328
3679,603067.SH,20240403,1.9904,1.62,11.3774,1.7428
3682,600595.SH,20240403,3.8465,2.62,15.0472,1.1905
3684,002588.SZ,20240403,1.8187,1.44,17.318,1.2756
3685,002649.SZ,20240403,3.586,1.0,19.8735,1.5173
3686,000672.SZ,20240403,0.5971,0.84,7.7542,0.836
3694,600658.SH,20240403,0.617,0.78,7.5597,0.5926
3695,002697.SZ,20240403,2.3588,1.56,12.5792,1.7171
3703,603686.SH,20240403,1.3718,1.01,14.4261,1.1505
3706,002768.SZ,20240403,1.1662,0.86,8.6189,1.3039
3709,002135.SZ,20240403,0.6335,1.0,18.905,0.8835
3710,003013.SZ,20240403,0.7474,1.37,14.079,2.5202
3714,600491.SH,20240403,0.7853,0.85,11.6636,0.3838
3745,600496.SH,20240403,0.7332,0.96,8.2387,0.6965
3746,601677.SH,20240403,2.8063,1.81,9.2349,0.9457
3750,000685.SZ,20240403,0.7094,0.84,10.7187,0.7078
3751,002986.SZ,20240403,0.864,1.14,12.7663,1.4932
3756,603018.SH,20240403,7.2358,0.76,8.3287,1.1769
3763,600157.SH,20240403,0.7933,0.95,15.7098,0.6548
3765,002772.SZ,20240403,3.1373,0.87,19.0483,0.8856
3767,002394.SZ,20240403,1.5217,1.11,15.7197,0.6449
3772,000612.SZ,20240403,9.0299,2.55,14.3133,1.4631
3781,002328.SZ,20240403,1.2406,0.95,12.8626,1.2354
3784,000563.SZ,20240403,0.5617,0.82,14.1729,0.8978
3785,600078.SH,20240403,1.7427,1.66,8.5517,2.4696
3788,600815.SH,20240403,0.4085,0.72,16.2842,2.4981
3792,605259.SH,20240403,1.5426,0.68,13.3656,1.8648
3797,000859.SZ,20240403,0.9628,1.01,16.8494,1.3471
3805,002756.SZ,20240403,3.269,2.03,4.4162,2.1877
3808,002404.SZ,20240403,1.6116,0.99,13.8176,1.5911
3809,600057.SH,20240403,0.6168,1.25,5.8958,1.0578
3810,000921.SZ,20240403,0.6118,0.65,15.7366,3.2879
3826,600382.SH,20240403,0.8523,1.71,11.3873,0.9452
3827,603725.SH,20240403,2.5781,0.88,18.902,3.1715
3830,000598.SZ,20240403,0.6996,0.85,12.0852,1.1748
3832,002706.SZ,20240403,1.9993,0.85,16.7709,2.0724
3835,002064.SZ,20240403,0.424,1.03,12.7904,1.4942
3839,600267.SH,20240403,0.5879,0.93,19.5366,1.1588
3840,001914.SZ,20240403,0.4493,0.67,14.7148,1.1093
3844,603303.SH,20240403,0.4514,0.61,16.5719,1.7853
3866,003011.SZ,20240403,10.8722,2.57,8.2925,1.1646
3870,603360.SH,20240403,1.9706,0.8,13.1573,3.3385
3873,000875.SZ,20240403,0.7354,0.79,18.36,1.0529
3874,600521.SH,20240403,0.4602,0.95,16.4912,2.4575
3878,601018.SH,20240403,0.1766,1.03,14.7521,0.9197
3885,000408.SZ,20240403,1.5621,1.7,15.4167,4.0377
3886,600117.SH,20240403,0.1777,0.91,5.251,1.6496
3888,600919.SH,20240403,0.4823,0.85,5.7253,0.7011
3890,605266.SH,20240403,0.3493,0.48,16.0426,2.1392
3891,603326.SH,20240403,5.7312,0.62,18.1335,2.2466
3899,002164.SZ,20240403,1.8117,0.85,8.0933,2.015
3903,603948.SH,20240403,0.8768,1.09,11.4115,1.7957
3905,600655.SH,20240403,0.7375,1.51,12.146,0.6768
3907,601006.SH,20240403,0.441,0.99,11.6258,0.8905
3910,002763.SZ,20240403,1.0175,0.56,17.1516,1.5443
3914,600548.SH,20240403,0.4944,0.86,9.3427,1.1843
3928,002136.SZ,20240403,3.0026,1.58,8.089,1.7925
3934,603506.SH,20240403,1.0931,0.84,11.6656,1.5642
3947,002572.SZ,20240403,0.8697,0.74,14.3873,2.1846
3952,603519.SH,20240403,0.7184,0.98,5.8306,2.2757
3958,002083.SZ,20240403,1.0777,0.83,18.4729,0.9592
3966,601665.SH,20240403,0.8045,0.62,5.9976,0.5976
3973,600757.SH,20240403,1.2577,0.79,13.0462,1.07
3974,002949.SZ,20240403,8.8056,2.46,15.882,1.7464
3978,600982.SH,20240403,0.7237,0.87,12.1374,1.0666
3983,600739.SH,20240403,0.4857,1.33,13.0398,0.5472
3991,600963.SH,20240403,0.4931,0.94,14.5867,0.9876
3994,600284.SH,20240403,0.8464,0.76,10.1884,0.7817
3995,000651.SZ,20240403,0.4574,0.69,9.2767,2.0232
4002,601200.SH,20240403,0.4964,1.12,18.8854,0.9641
4008,000993.SZ,20240403,4.1216,0.69,19.2935,1.8415
4015,001286.SZ,20240403,2.5098,0.84,15.0818,1.6189
4022,603416.SH,20240403,0.9773,0.89,18.5794,1.9331
4023,000550.SZ,20240403,1.1428,0.82,17.2046,2.4528
4027,601877.SH,20240403,0.3155,0.96,10.7895,1.1377
4030,000726.SZ,20240403,1.1207,1.9,5.4447,0.5829
4032,002274.SZ,20240403,1.9517,1.11,8.9437,1.4979
4034,601326.SH,20240403,0.5488,0.95,12.0783,1.0038
4045,603355.SH,20240403,0.4845,1.67,14.2553,3.5432
4081,605060.SH,20240403,1.5056,3.23,16.3758,1.8339
4086,600566.SH,20240403,0.7291,1.13,16.1706,2.8166
4087,601886.SH,20240403,1.0309,0.64,10.4911,0.9969
4091,601388.SH,20240403,9.1773,1.82,18.0642,1.6121
4100,600101.SH,20240403,3.0561,1.14,18.6114,1.1841
4106,600461.SH,20240403,0.598,0.69,12.6203,1.4857
4113,601678.SH,20240403,1.3692,1.8,7.2302,0.7519
4129,601789.SH,20240403,1.8998,0.64,12.931,1.0498
4135,601336.SH,20240403,0.3011,0.56,10.9284,0.9062
4136,601615.SH,20240403,1.6176,1.32,6.2998,0.7623
4146,000951.SZ,20240403,1.1944,0.82,18.3564,1.3468
4155,001333.SZ,20240403,3.019,1.41,17.6966,1.494
4163,600866.SH,20240403,0.9727,1.1,12.1539,1.0001
4167,600648.SH,20240403,0.3316,0.75,8.6377,0.8543
4171,600967.SH,20240403,0.7423,1.21,16.3598,1.2064
4173,600039.SH,20240403,0.4014,1.22,6.1169,1.5429
4179,000663.SZ,20240403,3.1863,1.08,8.3667,2.1454
4182,601113.SH,20240403,7.7122,5.33,9.0683,1.1823
4187,000709.SZ,20240403,0.7535,1.42,16.3017,0.4431
4188,002391.SZ,20240403,1.029,1.06,13.7668,0.7646
4191,600356.SH,20240403,0.9659,0.75,16.4114,0.8944
4205,603886.SH,20240403,0.7276,0.57,14.3913,2.3957
4207,605099.SH,20240403,0.1541,0.88,19.484,3.6015
4209,002109.SZ,20240403,0.5256,1.14,13.2866,1.0275
4214,601827.SH,20240403,0.2981,0.59,11.2142,1.2508
4220,002757.SZ,20240403,1.9132,0.66,14.7858,1.8065
4234,603637.SH,20240403,1.4833,0.74,18.1461,1.9116
4235,000968.SZ,20240403,1.9146,1.78,12.16,1.2215
4237,600089.SH,20240403,0.7038,1.06,4.9437,1.3196
4242,600888.SH,20240403,2.9756,2.01,7.4059,1.19
4243,600340.SH,20240403,0.9164,0.97,3.4369,0.6201
4245,603209.SH,20240403,2.968,2.29,16.5538,1.8918
4254,605507.SH,20240403,0.7163,1.14,9.43,1.1881
4274,000019.SZ,20240403,1.5961,0.93,18.5789,1.6454
4280,603801.SH,20240403,1.1619,0.56,13.5262,2.2077
4290,002267.SZ,20240403,0.5728,1.46,12.0525,1.1698
4298,002611.SZ,20240403,6.2722,0.76,19.1619,1.8821
4304,603329.SH,20240403,2.5237,1.37,14.8713,2.0499
4305,000700.SZ,20240403,4.9505,0.66,12.3417,1.8157
4310,002176.SZ,20240403,13.4474,4.61,8.2809,4.6731
4318,000567.SZ,20240403,0.3183,0.9,17.4049,2.2764
4327,601958.SH,20240403,1.667,2.21,12.0666,2.4419
4329,601208.SH,20240403,2.375,0.82,19.4156,1.8664
4333,600997.SH,20240403,0.7894,1.19,11.4894,0.8798
4335,600216.SH,20240403,0.9888,1.05,16.8826,0.9575
4336,600419.SH,20240403,1.4426,1.1,16.9575,1.3932
4337,603758.SH,20240403,2.1356,1.18,17.9574,1.808
4340,600230.SH,20240403,1.4513,1.27,11.3224,1.1805
4342,605028.SH,20240403,3.4688,0.8,13.7066,1.9847
4347,600007.SH,20240403,0.6175,0.91,19.0705,2.4756
4358,601369.SH,20240403,0.4197,0.5,16.2369,1.7962
4361,603515.SH,20240403,0.2994,1.02,15.6403,1.9236
4365,600956.SH,20240403,0.5625,1.04,16.521,1.7502
4366,601818.SH,20240403,0.3766,0.52,4.4323,0.404
4367,600926.SH,20240403,0.3207,0.78,5.7478,0.7228
4370,000529.SZ,20240403,3.5988,3.27,4.0246,1.1967
4376,000799.SZ,20240403,1.0921,0.91,17.8512,4.4473
4379,002386.SZ,20240403,3.2472,2.17,11.4904,0.7918
4385,002668.SZ,20240403,1.3869,0.86,11.081,6.1646
4392,002968.SZ,20240403,1.9782,0.61,12.0589,1.9119
4406,600976.SH,20240403,1.0432,0.53,17.062,3.9583
4411,003816.SZ,20240403,0.2897,0.86,18.7876,1.7794
4413,002632.SZ,20240403,5.1788,0.68,16.8317,2.4045
4417,002332.SZ,20240403,1.7676,1.06,13.1999,1.7484
4424,000655.SZ,20240403,2.9902,2.3,16.8796,1.2155
4425,605009.SH,20240403,0.6553,1.4,14.5397,2.0862
4429,002603.SZ,20240403,0.5,0.8,14.3387,2.8563
4438,601825.SH,20240403,0.4428,0.64,6.055,0.6044
4440,000885.SZ,20240403,1.0709,0.91,7.7266,1.1168
4449,603456.SH,20240403,0.9666,0.81,17.5322,1.9222
4457,603585.SH,20240403,0.597,0.93,7.0959,0.9393
4461,002821.SZ,20240403,1.3835,0.89,13.8567,1.7986
4464,000902.SZ,20240403,0.8473,1.68,10.6945,1.5139
4465,600746.SH,20240403,0.4231,1.42,15.6516,1.5498
4471,601083.SH,20240403,22.0401,5.36,18.3344,1.6795
4485,600330.SH,20240403,1.0972,0.69,14.6481,1.2162
4487,000708.SZ,20240403,0.1584,0.85,13.471,2.0218
4489,603399.SH,20240403,6.5959,2.62,8.8921,2.1818
4499,002043.SZ,20240403,1.1752,1.15,18.709,2.7934
4507,603639.SH,20240403,0.7492,1.29,11.4195,1.5685
4509,605377.SH,20240403,0.5375,1.22,15.4958,1.8857
4526,002887.SZ,20240403,1.8331,1.06,14.8116,1.034
4527,002392.SZ,20240403,1.0213,0.92,16.7712,0.8352
4537,603367.SH,20240403,0.6041,1.14,19.3489,1.2143
4554,002955.SZ,20240403,0.9677,0.68,15.3319,1.693
4556,601838.SH,20240403,0.3059,0.59,5.2258,0.8552
4562,600784.SH,20240403,0.7282,1.0,11.5573,1.3059
4593,603889.SH,20240403,0.8728,1.98,12.9174,1.5891
4599,601997.SH,20240403,0.7015,0.75,3.281,0.3642
4602,000630.SZ,20240403,5.9916,1.91,19.0676,1.626
4604,000778.SZ,20240403,1.1402,1.4,9.5947,0.6376
4610,603833.SH,20240403,0.3923,0.9,15.351,2.4157
4618,600499.SH,20240403,0.8585,0.92,9.9284,1.8222
4622,601225.SH,20240403,0.3721,0.83,7.1023,2.7931
4624,002398.SZ,20240403,2.5388,1.09,14.6564,0.8488
4630,000048.SZ,20240403,1.0826,1.08,5.2957,2.4003
4634,600332.SH,20240403,0.3486,0.82,11.6773,1.3563
4637,002966.SZ,20240403,0.7162,0.92,6.6907,0.6883
4641,000507.SZ,20240403,1.1054,1.16,15.1809,0.9413
4648,002705.SZ,20240403,1.5747,1.69,15.4478,1.9572
4652,601919.SH,20240403,0.7013,1.33,7.0758,0.8609
4657,600720.SH,20240403,0.8533,0.54,11.6624,1.6527
4671,600783.SH,20240403,0.267,0.69,17.6471,1.9272
4673,600511.SH,20240403,1.3009,0.93,11.9188,1.6213
4677,600079.SH,20240403,1.3437,1.06,14.9433,1.8715
4683,603538.SH,20240403,0.9319,0.67,8.7924,1.4474
4684,002302.SZ,20240403,1.0919,1.76,13.193,0.9116
4700,002958.SZ,20240403,0.5023,0.65,6.5695,0.4609
4704,000999.SZ,20240403,0.6108,1.1,17.6097,2.6488
4706,600713.SH,20240403,0.8482,1.27,10.2941,0.9746
4708,603071.SH,20240403,1.3657,1.57,7.6952,1.656
4715,002011.SZ,20240403,0.9601,0.83,16.0258,3.1507
4716,601998.SH,20240403,0.077,0.77,4.9622,0.5316
4720,002244.SZ,20240403,1.2281,1.03,5.5891,0.8285
4725,001217.SZ,20240403,24.984,1.57,19.4804,1.9993
4726,000680.SZ,20240403,2.4379,0.41,16.3925,2.2522
4740,600113.SH,20240403,2.0551,0.6,16.1243,1.4312
4743,601860.SH,20240403,0.8558,0.66,5.9484,0.5337
4754,600665.SH,20240403,1.0074,0.67,7.1618,0.5722
4758,002601.SZ,20240403,3.0991,2.69,13.9646,2.1152
4768,001227.SZ,20240403,0.9155,0.69,8.2129,0.5094
4775,603305.SH,20240403,1.4752,0.79,18.1519,2.0854
4776,001230.SZ,20240403,2.3541,1.42,17.4474,1.2598
4783,601009.SH,20240403,0.1832,0.94,5.1134,0.6974
4784,603300.SH,20240403,1.5985,1.01,18.3171,2.2195
4787,002573.SZ,20240403,0.5344,1.02,14.9041,1.0189
4793,002645.SZ,20240403,6.3998,1.5,17.0351,1.9173
4799,601089.SH,20240403,1.2447,0.92,14.9863,2.1119
4803,002867.SZ,20240403,0.7608,1.19,19.4747,3.4476
4805,600858.SH,20240403,2.8088,1.81,11.4507,0.9559
4807,603095.SH,20240403,3.1672,1.2,7.4108,1.3287
4814,600428.SH,20240403,1.7777,1.3,12.0418,1.1106
4816,600531.SH,20240403,9.4674,1.85,18.2158,1.6364
4817,002498.SZ,20240403,0.339,0.81,15.9633,1.6246
4825,601319.SH,20240403,0.1274,0.71,10.2535,0.9635
4828,600694.SH,20240403,1.4162,2.4,9.7338,0.6409
4834,600704.SH,20240403,0.9448,1.62,6.1214,0.7064
4839,002092.SZ,20240403,1.3451,1.25,17.6658,0.5181
4840,603661.SH,20240403,1.2472,0.95,18.2553,1.82
4848,002687.SZ,20240403,2.3363,0.88,14.9916,1.9885
4861,000514.SZ,20240403,1.5623,0.58,17.8821,0.8003
4862,600282.SH,20240403,0.5399,0.99,14.156,1.1335
4865,600741.SH,20240403,0.5659,0.75,7.5997,0.9491
4872,603908.SH,20240403,3.2394,1.1,16.5322,4.1196
4877,002758.SZ,20240403,1.4476,1.0,8.416,1.1719
4886,601186.SH,20240403,0.4842,0.63,4.4698,0.4659
4890,600787.SH,20240403,0.3955,0.96,16.8539,0.8192
4891,600985.SH,20240403,1.8433,1.65,7.5848,1.1784
4893,002803.SZ,20240403,3.8667,0.73,18.6425,2.8212
4894,603077.SH,20240403,0.6963,1.04,5.4749,1.0537
4898,603733.SH,20240403,0.3884,0.69,17.5428,1.8421
4902,002774.SZ,20240403,1.7072,1.0,16.6629,1.904
4905,603896.SH,20240403,1.0877,0.65,18.5275,2.5878
4918,600170.SH,20240403,0.8509,1.47,15.731,0.7353
4919,603589.SH,20240403,0.6749,0.78,15.912,2.6373
4925,601019.SH,20240403,0.4217,0.88,13.3129,1.6248
4933,603216.SH,20240403,7.9944,0.48,11.5161,1.4513
4935,601881.SH,20240403,0.5355,0.59,16.4597,1.2886
4939,603181.SH,20240403,0.3828,1.36,12.5848,2.2445
4946,603201.SH,20240403,1.3793,0.74,16.0969,1.9993
4947,002541.SZ,20240403,3.6703,1.66,10.1983,1.3507
4948,002478.SZ,20240403,3.9656,0.75,7.724,1.1568
4951,600016.SH,20240403,0.1974,0.57,4.9254,0.3331
4952,601619.SH,20240403,0.6678,0.78,15.5943,1.3206
4964,001322.SZ,20240403,2.2374,0.49,16.097,1.9604
4969,000707.SZ,20240403,2.6953,1.47,3.9288,1.7846
4971,600732.SH,20240403,0.9874,0.65,10.84,2.6371
4973,600705.SH,20240403,0.3717,0.72,15.8078,0.7196
4987,002833.SZ,20240403,2.1103,1.09,19.1906,3.5592
4991,000060.SZ,20240403,3.4682,2.24,15.3229,1.5102
4996,002367.SZ,20240403,1.3878,0.69,15.5339,1.6457
5008,001223.SZ,20240403,4.4355,1.07,15.9879,1.5596
5014,603109.SH,20240403,1.8694,0.52,15.249,1.9079
5021,600279.SH,20240403,0.7144,0.91,8.2321,0.8259
5029,603599.SH,20240403,0.5728,0.69,5.7352,1.4185
5033,601898.SH,20240403,0.3691,1.27,7.9956,1.0837
5040,600502.SH,20240403,1.5069,0.71,5.4033,0.8421
5050,002950.SZ,20240403,1.2233,1.37,12.2668,1.5539
5052,002048.SZ,20240403,0.7356,0.82,10.5324,0.864
